baud,packets,ok_pkts,fail_pkts,timeout_pkts,mismatch_pkts,pkt_loss_rate_pct,sent_bytes,recv_bytes,byte_loss,byte_loss_rate_pct,duration_sec,throughput_kbps,first_fail
2500000,150,0,150,150,0,100.000000,19200,0,19200,100.000000,4.449202,0.000,timeout@0:len=0
2400000,150,0,150,150,0,100.000000,19200,0,19200,100.000000,4.520437,0.000,timeout@0:len=0
2300000,150,0,150,150,0,100.000000,19200,0,19200,100.000000,4.538875,0.000,timeout@0:len=0
2200000,150,0,150,150,0,100.000000,19200,0,19200,100.000000,4.477052,0.000,timeout@0:len=0
2100000,150,0,150,150,0,100.000000,19200,0,19200,100.000000,4.493830,0.000,timeout@0:len=0
2000000,150,0,150,150,0,100.000000,19200,0,19200,100.000000,4.562890,0.000,timeout@0:len=0
1900000,150,0,150,150,0,100.000000,19200,0,19200,100.000000,4.514918,0.000,timeout@0:len=0
1800000,150,0,150,150,0,100.000000,19200,0,19200,100.000000,4.564874,0.000,timeout@0:len=0
1700000,150,0,150,150,0,100.000000,19200,0,19200,100.000000,4.506581,0.000,timeout@0:len=0
1600000,150,0,150,150,0,100.000000,19200,0,19200,100.000000,4.442004,0.000,timeout@0:len=0
1500000,150,0,150,150,0,100.000000,19200,11850,7350,38.281250,4.528491,20.934,timeout@0:len=79
1400000,150,0,150,150,0,100.000000,19200,11850,7350,38.281250,4.778509,19.839,timeout@0:len=79
1300000,150,0,150,150,0,100.000000,19200,11796,7404,38.562500,5.173217,18.242,timeout@0:len=79
1200000,150,0,150,150,0,100.000000,19200,3900,15300,79.687500,5.389431,5.789,timeout@0:len=26
1100000,150,0,150,150,0,100.000000,19200,3900,15300,79.687500,5.346964,5.835,timeout@0:len=26
1000000,150,0,150,148,2,100.000000,19200,13500,5700,29.687500,6.669235,16.194,timeout@0:len=90
900000,150,0,150,150,0,100.000000,19200,13500,5700,29.687500,6.627656,16.295,timeout@0:len=90
800000,150,0,150,150,0,100.000000,19200,13497,5703,29.703125,6.683744,16.155,timeout@0:len=90
700000,150,0,150,0,150,100.000000,19200,19200,0,0.000000,2.857012,53.762,mismatch@0
600000,150,0,150,0,150,100.000000,19200,19200,0,0.000000,2.842250,54.042,mismatch@0
500000,150,0,150,150,0,100.000000,19200,13500,5700,29.687500,8.905604,12.127,timeout@0:len=90
400000,150,0,150,150,0,100.000000,19200,13500,5700,29.687500,11.050518,9.773,timeout@0:len=90
300000,150,0,150,150,0,100.000000,19200,13500,5700,29.687500,13.192306,8.187,timeout@0:len=90
200000,150,0,150,150,0,100.000000,19200,0,19200,100.000000,18.157437,0.000,timeout@0:len=0
100000,150,0,150,150,0,100.000000,19200,0,19200,100.000000,34.341465,0.000,timeout@0:len=0
